class,name,number
/m/064t9,Pop music,78
/m/0939n_,Gargling,48
/t/dd00032,Funny music,51
/m/024dl,Cash register,57
/m/04gy_2,Battle cry,58
/m/07qsvvw,"Burst, pop",58
/m/04cvmfc,Roar,54
/m/0lyf6,Breathing,53
/m/0ggq0m,Classical music,60
/m/0342h,Guitar,289
/m/01m2v,Computer keyboard,53
/m/07k1x,Tools,98
/m/053hz1,Cheering,58
/m/04_sv,Motorcycle,57
/m/0_ksk,Power tool,76
/m/025td0t,Background music,59
/m/01v_m0,Sine wave,56
/m/073cg4,Cap gun,57
/m/0140xf,Christmas music,56
/m/07n_g,Tuning fork,58
/m/01b9nn,Reverberation,59
/m/0ytgt,"Child speech, kid speaking",188
/m/07pzfmf,Crackle,54
/m/0f8s22,Chime,57
/m/07qmpdm,Clatter,59
/m/07qn5dc,"Crowing, cock-a-doodle-doo",57
/m/02sgy,Electric guitar,119
/m/01rd7k,Turkey,60
/m/0192l,Bagpipes,59
/m/07rbp7_,Whip,55
/m/02_41,Fire,56
/m/0k5j,Aircraft,108
/m/07pjjrj,"Smash, crash",54
/m/07rknqz,Skidding,54
/t/dd00066,Medium engine (mid frequency),56
/m/05w3f,Psychedelic rock,54
/t/dd00037,Scary music,53
/m/07q7njn,"Chink, clink",54
/t/dd00134,Car passing by,57
/m/08cyft,Electronic dance music,78
/m/07gql,Trumpet,56
/m/07rgt08,"Chuckle, chortle",58
/m/07s8j8t,Roll,55
/m/02yds9,Purr,59
/m/03wvsk,Hair dryer,56
/m/07q5rw0,"Neigh, whinny",50
/m/07s12q4,Crunch,51
/m/018vs,Bass guitar,57
/m/0316dw,Typing,55
/m/02rhddq,Reversing beeps,53
/m/07qv_d5,Toot,56
/m/02v2lh,New-age music,58
/m/07bjf,Single-lens reflex camera,56
/m/02x984l,Mechanical fan,58
/m/06_fw,Skateboard,57
/m/07gxw,Techno,86
/m/09d5_,Owl,59
/m/09f96,Mosquito,54
/m/06mb1,Rain,95
/m/01s0ps,Electric piano,57
/m/07qyrcz,Plop,49
/m/01swy6,Yodeling,57
/m/01w250,Whistling,51
/m/02w4v,Folk music,52
/m/07s72n,Dubstep,87
/m/02zsn,"Female speech, woman speaking",65
/m/0j2kx,Waterfall,58
/m/07pp8cl,Telephone bell ringing,50
/m/01b_21,Cough,50
/m/07p6mqd,Slosh,53
/m/07ptfmf,Stir,60
/t/dd00077,Mechanisms,103
/m/0130jx,Sink (filling or washing),54
/m/02hnl,Drum kit,78
/m/016622,Tubular bells,57
/m/07qfr4h,"Hubbub, speech noise, speech babble",53
/m/07sbbz2,Rock and roll,84
/m/03r5q_,Jingle (music),55
/m/07qqyl4,Boom,57
/m/07hvw1,Field recording,58
/m/028ght,Applause,58
/m/02mk9,Engine,180
/m/01jt3m,Toilet flush,52
/m/07qlf79,Spray,60
/m/06by7,Rock music,86
/m/04zmvq,Train whistle,60
/m/0l15bq,Clapping,57
/m/04rmv,Mouse,57
/m/0fqfqc,Drawer open or close,57
/m/07rwj3x,Whoop,59
/m/0j6m2,Stream,55
/m/05148p4,Keyboard (musical),140
/m/0bt9lr,Dog,207
/g/122z_qxw,Firecracker,51
/m/02bk07,Chant,55
/m/01c194,Mantra,56
/m/02mfyn,Car alarm,53
/m/042v_gx,Acoustic guitar,89
/m/02lkt,Electronic music,57
/m/026fgl,Wind chime,54
/m/0l7xg,Gears,55
/m/0261r1,Babbling,58
/m/09xqv,Cricket,58
/m/07jdr,Train,167
/m/03v3yw,Keys jangling,56
/m/0dv3j,Boiling,58
/m/0463cq4,"Crying, sobbing",54
/m/011k_j,Timpani,57
/m/05tny_,Bark,56
/m/0326g,Flamenco,58
/m/0l14qv,Synthesizer,56
/m/0l14j_,Flute,51
/m/06xkwv,Mains hum,57
/m/0dv5r,Camera,56
/m/0l14gg,Soundtrack music,54
/m/06bz3,Radio,57
/m/0395lw,Bell,54
/m/07qw_06,"Wail, moan",47
/m/07pkxdp,Lullaby,53
/m/081rb,Writing,57
/m/07p_0gm,Throbbing,55
/t/dd00112,"Crumpling, crinkling",55
/m/0brhx,Speech synthesizer,55
/m/07qv_x_,Shuffle,59
/m/07s0s5r,Strum,59
/t/dd00130,Engine starting,57
/m/07plct2,Crushing,57
/m/01bjv,Bus,56
/m/0b9m1,Harmonic,54
/m/02cjck,Theme music,58
/m/03_d0,Jazz,57
/m/096m7z,Noise,58
/m/0llzx,Sewing machine,58
/m/0dgbq,Civil defense siren,57
/m/09t49,Rustling leaves,59
/t/dd00065,Light engine (high frequency),56
/t/dd00004,Female singing,55
/m/034srq,"Waves, surf",60
/m/07qcpgn,Tap,56
/m/026t6,Drum,187
/m/02fs_r,"Beep, bleep",55
/m/02c8p,"Telephone dialing, DTMF",52
/m/05r5wn,Rattle (instrument),53
/m/0ngt1,Thunder,59
/m/06bxc,Rapping,58
/m/01280g,Wild animals,47
/m/01yrx,Cat,105
/m/02mscn,Christian music,46
/m/04gxbd,"Power windows, electric windows",59
/t/dd00006,Synthetic singing,51
/m/0l14_3,Bowed string instrument,105
/m/07s02z0,Squeal,55
/m/06j64v,Middle Eastern music,50
/m/07p7b8y,Fill (with liquid),54
/m/025rv6n,Fowl,200
/m/0h0rv,"Pigeon, dove",57
/m/07r4wb8,Knock,49
/m/03l9g,Hammer,58
/m/02fxyj,Humming,51
/m/07qc9xj,Clicking,56
/m/05x_td,"Air horn, truck horn",53
/m/06q74,Ship,60
/m/07szfh9,Cacophony,55
/m/07rrh0c,Thunk,54
/m/07phhsh,Rumble,58
/m/07st89h,Cluck,51
/m/05kq4,Ocean,64
/m/05_wcq,"Bird flight, flapping wings",55
/m/09ld4,Frog,58
/m/01v1d8,Sampler,59
/m/07rv9rh,Clip-clop,58
/m/03j1ly,Emergency vehicle,126
/m/0hsrw,"Sailboat, sailing ship",58
/m/02z32qm,Fusillade,53
/m/0c3f7m,Fire alarm,56
/m/01y3hg,"Smoke detector, smoke alarm",57
/m/07qwf61,Honk,57
/m/0glt670,Hip hop music,57
/m/0dwsp,"Marimba, xylophone",62
/m/07qcx4z,Tearing,54
/m/01yg9g,Lawn mower,56
/m/07qb_dv,Scratch,56
/m/0gy1t2s,Bicycle bell,55
/m/04k94,Liquid,56
/m/06wzb,Steam,55
/m/07pl1bw,Splinter,58
/m/01jg02,"Heart sounds, heartbeat",62
/m/0d31p,Vacuum cleaner,55
/m/0dbvp,Goose,65
/m/07pws3f,Bang,54
/m/068hy,"Domestic animals, pets",317
/m/07ptzwd,Pump (liquid),57
/m/01hgjl,Scratching (performance technique),60
/m/03vt0,Insect,152
/m/0dl9sf8,Throat clearing,55
/m/06d_3,Rail transport,166
/m/06j6l,Rhythm and blues,56
/m/0z9c,A capella,60
/m/07s2xch,Groan,54
/t/dd00033,Sad music,54
/m/07sx8x_,Squawk,56
/m/07r10fb,Raindrop,59
/m/07r4gkf,Patter,57
/m/07q6cd_,Squeak,53
/m/0dwtp,Glockenspiel,53
/m/01hnzm,Ringtone,48
/m/0239kh,Cowbell,56
/m/014zdl,Explosion,52
/m/07yv9,Vehicle,737
/m/07s04w4,Snicker,57
/m/01h82_,Engine knocking,60
/m/02l6bg,"Propeller, airscrew",58
/m/02rtxlg,Whispering,54
/m/03m9d0z,Wind,176
/m/07prgkl,Pour,51
/m/023pjk,"Cutlery, silverware",54
/m/03t3fj,Rimshot,72
/m/03cczk,"Chewing, mastication",49
/m/0jb2l,Thunderstorm,59
/m/0h2mp,"Fly, housefly",105
/m/05zppz,"Male speech, man speaking",61
/m/0l14t7,Singing bowl,58
/m/07q0yl5,Snort,55
/m/06rvn,Snare drum,78
/m/020bb7,"Bird vocalization, bird call, bird song",165
/m/07xzm,Ukulele,54
/m/06w87,"Steel guitar, slide guitar",59
/m/07rv4dm,Clang,53
/m/05r6t,Punk rock,62
/m/07rjwbb,Hiss,92
/m/04qvtq,Police car (siren),54
/m/0c2wf,Typewriter,56
/m/07r_k2n,Yip,58
/m/09x0r,Speech,4837
/m/0319l,French horn,51
/m/01z47d,Busy signal,51
/m/07phxs1,Ding,56
/m/023vsd,Sanding,56
/m/03q5_w,"Burping, eructation",54
/m/0ltv,"Race car, auto racing",68
/m/06_y0by,Environmental noise,54
/t/dd00067,Heavy engine (low frequency),58
/m/09ct_,Helicopter,54
/m/0fd3y,Ambient music,55
/m/0dq0md,Music of Bollywood,43
/m/056ks2,"Rowboat, canoe, kayak",59
/m/05rj2,Shuffling cards,59
/m/07rpkh9,Moo,53
/m/07q0h5t,Bleat,55
/m/03mb9,House music,55
/t/dd00002,"Baby cry, infant cry",49
/m/07st88b,Croak,57
/m/07r_80w,Hoot,58
/t/dd00035,Exciting music,53
/m/07r_25d,Coo,57
/m/07m2kt,Chorus effect,55
/m/0bm02,Bass drum,86
/m/07p78v5,Zing,52
/m/07r81j2,Caterwaul,58
/m/0g293,Music of Latin America,57
/m/01s0vc,Zipper (clothing),57
/m/01z5f,"Canidae, dogs, wolves",57
/m/0dls3,Grunge,58
/m/07r4k75,Grunt,50
/m/0k65p,Hands,56
/m/0fx9l,Microwave oven,56
/m/0642b4,Cupboard open or close,53
/m/01x3z,Clock,56
/m/028v0c,Silence,55
/m/032s66,"Gunshot, gunfire",158
/m/0l156k,Whistle,54
/m/0y4f8,Vocal music,71
/m/018w8,Basketball bounce,57
/m/08j51y,"Dental drill, dentist's drill",59
/t/dd00003,Male singing,59
/m/028sqc,Music of Asia,56
/m/01z7dr,Video game music,54
/m/0g6b5,Fireworks,54
/t/dd00036,Angry music,56
/m/0gg8l,Bluegrass,62
/m/01wy6,Clarinet,57
/m/01hsr_,Sneeze,45
/m/04rlf,Music,5129
/m/0242l,Coin (dropping),59
/m/01lyv,Country,59
/m/0dwt5,Vibraphone,56
/t/dd00127,"Inside, public space",48
/m/0c1dj,Sound effect,47
/m/03dnzn,Bathtub (filling or washing),52
/m/078jl,Snake,51
/m/07qz6j3,Whimper,57
/m/04brg2,"Dishes, pots, and pans",54
/m/06cqb,Reggae,50
/m/05rwpb,Independent music,59
/m/0ggx5q,Dance music,74
/m/07qrkrw,Meow,58
/m/04zjc,Machine gun,55
/t/dd00135,Children shouting,57
/m/0dl83,Arrow,56
/m/02rr_,Effects unit,107
/m/030rvx,Buzzer,56
/m/01p970,Tabla,61
/m/0h9mv,Tire squeal,54
/m/07c52,Television,52
/m/07pdhp0,Biting,56
/m/03wwcy,Doorbell,56
/m/01jg1z,Heart murmur,57
/m/012xff,Toothbrush,55
/m/07qjznt,Tick,56
/m/0gvgw0,Air brake,58
/m/06hck5,Steam whistle,70
/m/06hps,"Rodents, rats, mice",56
/m/07rn7sz,Shatter,56
/m/02y_763,Sliding door,57
/m/07qdb04,Quack,63
/m/04rzd,Mandolin,57
/m/07pc8lb,Breaking,51
/m/0155w,Blues,58
/m/07sq110,Belly laugh,58
/m/05zc1,Pulleys,57
/m/01jwx6,Vibration,58
/m/04s8yn,Crow,60
/m/01b82r,Sawing,57
/m/04fq5q,Foghorn,58
/m/07q4ntr,Bellow,53
/m/07r5v4s,Drip,58
/m/0m0jc,Electronica,78
/m/0chx_,White noise,58
/m/03xq_f,Electronic organ,61
/m/07pyf11,Flap,58
/m/07kc_,Theremin,55
/t/dd00005,Child singing,54
/m/07ppn3j,Sniff,57
/m/03kmc9,Siren,192
/m/07ryjzk,"Slap, smack",51
/m/0ghcn6,Growling,59
/m/05pd6,Orchestra,56
/m/07rkbfh,Chatter,54
/t/dd00001,Baby laughter,56
/m/01j4z9,Chainsaw,56
/m/02_nn,Fart,55
/m/07c6l,Trombone,58
/m/0btp2,"Traffic noise, roadway noise",65
/m/07cx4,Telephone,50
/m/07pt_g0,Pulse,54
/m/0mkg,Accordion,55
/m/0l156b,Steelpan,56
/m/06ncr,Saxophone,59
/m/03qtwd,Crowd,134
/m/03qc9zr,Screaming,49
/m/015lz1,Singing,326
/m/07mzm6,Wheeze,57
/m/02g901,"Electric shaver, electric razor",54
/m/046dlr,Alarm clock,55
/m/07p6fty,Shout,54
/m/07pbtc8,"Walk, footsteps",52
/m/01xq0k1,"Cattle, bovinae",55
/m/03k3r,Horse,80
/m/01g90h,Stomach rumble,47
/m/02cz_7,Beatboxing,54
/m/0cdnk,"Roaring cats (lions, tigers)",50
/m/01kcd,Brass instrument,192
/m/07rc7d9,Bow-wow,68
/m/01h3n,"Bee, wasp, etc.",54
/m/0gywn,Soul music,58
/m/07rdhzs,"Whack, thwack",55
/m/0284vy3,Train horn,58
/m/06h7j,Run,54
/m/0l14jd,Choir,92
/m/0mbct,Gong,55
/m/0150b9,Change ringing (campanology),58
/m/0838f,Water,262
/m/07rjzl8,Slam,57
/m/0cj0r,Pink noise,57
/m/01lsmm,Scissors,55
/m/07s34ls,Whir,56
/m/07rqsjt,"Whoosh, swoosh, swish",54
/m/0d8_n,Pizzicato,129
/m/05lls,Opera,57
/m/01d380,Drill,59
/m/012ndj,"Fire engine, fire truck (siren)",51
/m/07qwyj0,Rustle,55
/m/01h8n0,Conversation,53
/m/04fgwm,Electric toothbrush,56
/m/07qn4z3,Rattle,54
/m/012n7d,Ambulance (siren),59
/m/0199g,Bicycle,59
/m/07sr1lc,Yell,51
/m/03q5t,Harpsichord,59
/m/07qwdck,Ping,57
/m/02rlv9,"Motorboat, speedboat",58
/m/01qbl,Cymbal,65
/m/012f08,Motor vehicle (road),84
/m/02k_mr,Drum roll,62
/m/0j45pbj,Mallet percussion,51
/m/0cfdd,Drum machine,66
/m/02qldy,"Narration, monologue",56
/m/015jpf,Dial tone,56
/m/0ln16,Salsa music,57
/m/02bm9n,"Ratchet, pawl",57
/t/dd00031,Happy music,57
/m/07p9k1k,Sizzle,66
/m/07qlwh6,Squish,55
/m/0b_fwt,Electronic tuner,57
/m/09ddx,Duck,55
/m/07qnq_y,"Thump, thud",57
/m/03fwl,Goat,54
/m/0l14l2,Shofar,57
/m/02fsn,Double bass,56
/m/05r5c,Piano,85
/m/06rqw,Ska,55
/m/07pb8fc,Idling,86
/m/039jq,Glass,56
/m/015vgc,Carnatic music,61
/m/015y_n,Swing music,54
/m/02bxd,Didgeridoo,57
/m/01xqw,Cello,63
/m/014yck,Aircraft engine,56
/t/dd00038,Rain on surface,58
/m/02p01q,Filing (rasp),56
/m/07pxg6y,Eruption,57
/m/025wky1,Air conditioning,58
/m/027m70_,Jingle bell,53
/m/016cjb,Gospel music,53
/m/07qh7jl,Creak,57
/m/07pqc89,"Trickle, dribble",56
/m/085jw,"Wind instrument, woodwind instrument",243
/t/dd00013,Children playing,56
/m/0dxrf,Frying (food),59
/m/07r67yg,Ding-dong,51
/m/01m4t,Printer,55
/t/dd00048,Train wheels squealing,56
/m/0dl5d,Progressive rock,68
/m/07pn_8q,Chopping (food),56
/m/07qv4k0,Scrape,54
/m/07pyy8b,Pant,55
/m/07lnk,Trance music,56
/m/02p0sh1,Traditional music,57
/m/07qjznl,Tick-tock,59
/m/04229,Jet engine,60
/m/07bgp,Sheep,55
/m/07pczhz,Chop,57
/m/0790c,Sonar,55
/m/01g50p,"Railroad car, train wagon",160
/m/03gvt,Hammond organ,60
/m/074ft,Song,148
/m/01d3sd,Snoring,57
/m/013y1f,Organ,119
/m/07s0dtb,Gasp,53
/m/0jtg0,Sitar,54
/m/02qmj0d,String section,56
/m/04szw,Musical instrument,392
/m/03lty,Heavy metal,66
/m/07pdjhy,Rub,129
/m/07r04,Truck,92
/m/07q2z82,"Accelerating, revving, vroom",140
/t/dd00129,"Outside, rural or natural",171
/t/dd00128,"Outside, urban or manmade",198
/m/03w41f,Church bell,59
/m/07plz5l,Sigh,52
/m/02jz0l,"Water tap, faucet",71
/t/dd00018,Oink,52
/m/01bns_,Zither,59
/m/015p6,Bird,203
/m/01j3sz,Laughter,105
/m/0_1c,Artillery fire,52
/m/0145m,Afrobeat,56
/m/05fw6t,Music for children,54
/m/0164x2,Music of Africa,78
/m/0k4j,Car,266
/m/03qtq,Hi-hat,56
/m/025_jnm,Finger snapping,53
/m/07qfgpx,"Jingle, tinkle",53
/m/018j2,Banjo,59
/m/08p9q4,Sidetone,55
/m/0xzly,Maraca,54
/m/02p3nc,Hiccup,54
/m/09b5t,"Chicken, rooster",78
/m/01glhc,Tapping (guitar technique),57
/m/07rrlb6,"Splash, splatter",49
/m/07pqn27,Bouncing,54
/t/dd00034,Tender music,57
/m/01sm1g,Wood block,58
/m/07qs1cx,Crack,53
/t/dd00136,Whimper (dog),55
/m/07pggtn,"Chirp, tweet",69
/m/07rgkc5,Static,55
/m/07rwm0c,Clickety-clack,57
/m/07swgks,Gurgling,57
/m/0283d,Drum and bass,68
/m/032n05,Whale vocalization,51
/m/03p19w,Jackhammer,57
/m/03qjg,Harmonica,58
/m/0cmf2,"Fixed-wing aircraft, airplane",64
/m/04wptg,Wedding music,57
/m/083vt,Wood,158
/t/dd00121,Boing,46
/m/02x8m,Funk,54
/m/07qf0zm,Howl,53
/m/068zj,Pig,48
/m/07pjwq1,Buzz,56
/m/07pp_mv,Alarm,54
/m/07brj,Tambourine,59
/m/07r5c2p,Caw,58
/t/dd00088,Gush,55
/m/01jnbd,Echo,58
/m/0hdsk,Chirp tone,57
/m/03cl9h,"Ice cream truck, ice cream van",55
/m/0jbk,Animal,637
/m/0l14md,Percussion,236
/m/02pjr4,Blender,57
/m/0fx80y,Plucked string instrument,242
/m/07svc2k,Gobble,60
/m/0g12c5,Distortion,115
/m/0912c9,"Vehicle horn, car horn, honking",58
/t/dd00092,Wind noise (microphone),144
/m/02dgv,Door,60
/m/026z9,Disco,57
/m/0ch8v,"Livestock, farm animals, working animals",106
/m/07r660_,Giggle,56
/m/07rcgpl,Hum,73
/m/03m5k,Harp,55
/m/019jd,"Boat, Water vehicle",231
/t/dd00125,"Inside, small room",531
/m/0195fx,"Subway, metro, underground",59
/m/07y_7,"Violin, fiddle",56
/t/dd00126,"Inside, large room or hall",145
